Experiments	Channels	Samples
eAL00241	3	unused
eAL00241	4	unused
eAL00241	5	m
eAL00241	6	m
eAL00241	7	m
eAL00241	8	m
eAL00241	9	m
eAL00241	10	m
eAL00241	11	u
eAL00241	12	u
eAL00241	13	u
eAL00241	14	u
eAL00241	15	u
eAL00241	16	u
eAL00241	17	neg
eAL00241	18	m
eAL00242	1	carrier
eAL00242	2	reference
eAL00242	3	unused
eAL00242	4	unused
eAL00242	5	m
eAL00242	6	m
eAL00242	7	m
eAL00242	8	m
eAL00242	9	m
eAL00242	10	u
eAL00242	11	u
eAL00242	12	u
eAL00242	13	u
eAL00242	14	u
eAL00242	15	u
eAL00242	16	neg
eAL00242	17	m
eAL00242	18	m
eAL00243	1	carrier
eAL00243	2	reference
eAL00243	3	unused
eAL00243	4	unused
eAL00243	5	m
eAL00243	6	m
eAL00243	7	m
eAL00243	8	m
eAL00243	9	u
eAL00243	10	u
eAL00243	11	u
eAL00243	12	u
eAL00243	13	u
eAL00243	14	u
eAL00243	15	neg
eAL00243	16	m
eAL00243	17	m
eAL00243	18	m
eAL00244	1	carrier
eAL00244	2	reference
eAL00244	3	unused
eAL00244	4	unused
eAL00244	5	m
eAL00244	6	m
eAL00244	7	m
eAL00244	8	u
eAL00244	9	u
eAL00244	10	u
eAL00244	11	u
eAL00244	12	u
eAL00244	13	u
eAL00244	14	u
eAL00244	15	m
eAL00244	16	m
eAL00244	17	m
eAL00244	18	m
eAL00245	1	carrier
eAL00245	2	reference
eAL00245	3	unused
eAL00245	4	unused
eAL00245	5	m
eAL00245	6	u
eAL00245	7	u
eAL00245	8	u
eAL00245	9	u
eAL00245	10	u
eAL00245	11	u
eAL00245	12	u
eAL00245	13	neg
eAL00245	14	m
eAL00245	15	m
eAL00245	16	m
eAL00245	17	m
eAL00245	18	m
eAL00246	1	carrier
eAL00246	2	reference
eAL00246	3	unused
eAL00246	4	unused
eAL00246	5	u
eAL00246	6	u
eAL00246	7	u
eAL00246	8	u
eAL00246	9	u
eAL00246	10	u
eAL00246	11	u
eAL00246	12	neg
eAL00246	13	m
eAL00246	14	m
eAL00246	15	m
eAL00246	16	m
eAL00246	17	m
eAL00246	18	m
eAL00247	1	carrier
eAL00247	2	reference
eAL00247	3	unused
eAL00247	4	unused
eAL00247	5	u
eAL00247	6	u
eAL00247	7	u
eAL00247	8	u
eAL00247	9	u
eAL00247	10	u
eAL00247	11	neg
eAL00247	12	m
eAL00247	13	m
eAL00247	14	m
eAL00247	15	m
eAL00247	16	m
eAL00247	17	m
eAL00247	18	u
eAL00248	1	carrier
eAL00248	2	reference
eAL00248	3	unused
eAL00248	4	unused
eAL00248	5	u
eAL00248	6	u
eAL00248	7	u
eAL00248	8	u
eAL00248	9	u
eAL00248	10	neg
eAL00248	11	m
eAL00248	12	m
eAL00248	13	m
eAL00248	14	m
eAL00248	15	m
eAL00248	16	m
eAL00248	17	u
eAL00248	18	u
eAL00249	1	carrier
eAL00249	2	reference
eAL00249	3	unused
eAL00249	4	unused
eAL00249	5	m
eAL00249	6	m
eAL00249	7	m
eAL00249	8	m
eAL00249	9	m
eAL00249	10	m
eAL00249	11	m
eAL00249	12	u
eAL00249	13	u
eAL00249	14	u
eAL00249	15	u
eAL00249	16	u
eAL00249	17	u
eAL00249	18	neg
eAL00250	1	carrier
eAL00250	2	reference
eAL00250	3	unused
eAL00250	4	unused
eAL00250	5	m
eAL00250	6	m
eAL00250	7	m
eAL00250	8	m
eAL00250	9	m
eAL00250	10	m
eAL00250	11	u
eAL00250	12	u
eAL00250	13	u
eAL00250	14	u
eAL00250	15	u
eAL00250	16	u
eAL00250	17	neg
eAL00250	18	m
eAL00251	1	carrier
eAL00251	2	reference
eAL00251	3	unused
eAL00251	4	unused
eAL00251	5	m
eAL00251	6	m
eAL00251	7	m
eAL00251	8	m
eAL00251	9	m
eAL00251	10	u
eAL00251	11	u
eAL00251	12	u
eAL00251	13	u
eAL00251	14	u
eAL00251	15	u
eAL00251	16	neg
eAL00251	17	m
eAL00251	18	m
eAL00252	1	carrier
eAL00252	2	reference
eAL00252	3	unused
eAL00252	4	unused
eAL00252	5	m
eAL00252	6	m
eAL00252	7	m
eAL00252	8	m
eAL00252	9	u
eAL00252	10	u
eAL00252	11	u
eAL00252	12	u
eAL00252	13	u
eAL00252	14	u
eAL00252	15	neg
eAL00252	16	m
eAL00252	17	m
eAL00252	18	m
eAL00253	1	carrier
eAL00253	2	reference
eAL00253	3	unused
eAL00253	4	unused
eAL00253	5	m
eAL00253	6	m
eAL00253	7	m
eAL00253	8	u
eAL00253	9	u
eAL00253	10	u
eAL00253	11	u
eAL00253	12	u
eAL00253	13	u
eAL00253	14	u
eAL00253	15	m
eAL00253	16	m
eAL00253	17	m
eAL00253	18	m
eAL00254	1	carrier
eAL00254	2	reference
eAL00254	3	unused
eAL00254	4	unused
eAL00254	5	m
eAL00254	6	u
eAL00254	7	u
eAL00254	8	u
eAL00254	9	u
eAL00254	10	u
eAL00254	11	u
eAL00254	12	u
eAL00254	13	neg
eAL00254	14	m
eAL00254	15	m
eAL00254	16	m
eAL00254	17	m
eAL00254	18	m
eAL00255	1	carrier
eAL00255	2	reference
eAL00255	3	unused
eAL00255	4	unused
eAL00255	5	u
eAL00255	6	u
eAL00255	7	u
eAL00255	8	u
eAL00255	9	u
eAL00255	10	u
eAL00255	11	u
eAL00255	12	neg
eAL00255	13	m
eAL00255	14	m
eAL00255	15	m
eAL00255	16	m
eAL00255	17	m
eAL00255	18	m
eAL00256	1	carrier
eAL00256	2	reference
eAL00256	3	unused
eAL00256	4	unused
eAL00256	5	u
eAL00256	6	u
eAL00256	7	u
eAL00256	8	u
eAL00256	9	u
eAL00256	10	u
eAL00256	11	neg
eAL00256	12	m
eAL00256	13	m
eAL00256	14	m
eAL00256	15	m
eAL00256	16	m
eAL00256	17	m
eAL00256	18	u
eAL00257	1	carrier
eAL00257	2	reference
eAL00257	3	unused
eAL00257	4	unused
eAL00257	5	u
eAL00257	6	u
eAL00257	7	u
eAL00257	8	u
eAL00257	9	u
eAL00257	10	neg
eAL00257	11	m
eAL00257	12	m
eAL00257	13	m
eAL00257	14	m
eAL00257	15	m
eAL00257	16	m
eAL00257	17	u
eAL00257	18	u
eAL00258	1	carrier
eAL00258	2	reference
eAL00258	3	unused
eAL00258	4	unused
eAL00258	5	m
eAL00258	6	m
eAL00258	7	m
eAL00258	8	m
eAL00258	9	m
eAL00258	10	m
eAL00258	11	m
eAL00258	12	u
eAL00258	13	u
eAL00258	14	u
eAL00258	15	u
eAL00258	16	u
eAL00258	17	u
eAL00258	18	neg
eAL00259	1	carrier
eAL00259	2	reference
eAL00259	3	unused
eAL00259	4	unused
eAL00259	5	m
eAL00259	6	m
eAL00259	7	m
eAL00259	8	m
eAL00259	9	m
eAL00259	10	m
eAL00259	11	u
eAL00259	12	u
eAL00259	13	u
eAL00259	14	u
eAL00259	15	u
eAL00259	16	u
eAL00259	17	neg
eAL00259	18	m
eAL00260	1	carrier
eAL00260	2	reference
eAL00260	3	unused
eAL00260	4	unused
eAL00260	5	m
eAL00260	6	m
eAL00260	7	m
eAL00260	8	m
eAL00260	9	m
eAL00260	10	u
eAL00260	11	u
eAL00260	12	u
eAL00260	13	u
eAL00260	14	u
eAL00260	15	u
eAL00260	16	neg
eAL00260	17	m
eAL00260	18	m
eAL00261	1	carrier
eAL00261	2	reference
eAL00261	3	unused
eAL00261	4	unused
eAL00261	5	m
eAL00261	6	m
eAL00261	7	m
eAL00261	8	m
eAL00261	9	u
eAL00261	10	u
eAL00261	11	u
eAL00261	12	u
eAL00261	13	u
eAL00261	14	u
eAL00261	15	neg
eAL00261	16	m
eAL00261	17	m
eAL00261	18	m
eAL00262	1	carrier
eAL00262	2	reference
eAL00262	3	unused
eAL00262	4	unused
eAL00262	5	m
eAL00262	6	m
eAL00262	7	m
eAL00262	8	u
eAL00262	9	u
eAL00262	10	u
eAL00262	11	u
eAL00262	12	u
eAL00262	13	u
eAL00262	14	u
eAL00262	15	m
eAL00262	16	m
eAL00262	17	m
eAL00262	18	m
eAL00263	1	carrier
eAL00263	2	reference
eAL00263	3	unused
eAL00263	4	unused
eAL00263	5	m
eAL00263	6	u
eAL00263	7	u
eAL00263	8	u
eAL00263	9	u
eAL00263	10	u
eAL00263	11	u
eAL00263	12	u
eAL00263	13	neg
eAL00263	14	m
eAL00263	15	m
eAL00263	16	m
eAL00263	17	m
eAL00263	18	m
eAL00264	1	carrier
eAL00264	2	reference
eAL00264	3	unused
eAL00264	4	unused
eAL00264	5	u
eAL00264	6	u
eAL00264	7	u
eAL00264	8	u
eAL00264	9	u
eAL00264	10	u
eAL00264	11	u
eAL00264	12	neg
eAL00264	13	m
eAL00264	14	m
eAL00264	15	m
eAL00264	16	m
eAL00264	17	m
eAL00264	18	m
eAL00265	1	carrier
eAL00265	2	reference
eAL00265	3	unused
eAL00265	4	unused
eAL00265	5	u
eAL00265	6	u
eAL00265	7	u
eAL00265	8	u
eAL00265	9	u
eAL00265	10	u
eAL00265	11	neg
eAL00265	12	m
eAL00265	13	m
eAL00265	14	m
eAL00265	15	m
eAL00265	16	m
eAL00265	17	m
eAL00265	18	u
eAL00266	1	carrier
eAL00266	2	reference
eAL00266	3	unused
eAL00266	4	unused
eAL00266	5	u
eAL00266	6	u
eAL00266	7	u
eAL00266	8	u
eAL00266	9	u
eAL00266	10	neg
eAL00266	11	m
eAL00266	12	m
eAL00266	13	m
eAL00266	14	m
eAL00266	15	m
eAL00266	16	m
eAL00266	17	u
eAL00266	18	u
